Unnamed: 0,periodStartUnix,liquidity,open,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken0,pool.totalValueLockedToken1,pool.token0.decimals,pool.token1.decimals,note
10,1627812000,5811272675729,2.38762504709e-05,2.40328300198e-05,2.38191925609e-05,2.40328300198e-05,551008200317229631703141600592529544,203559762629065603191125221753944787437,68933741.36238897,1157.50697069,35058831.559686,8,6,
11,1627815600,6778236528530,2.40490719264e-05,2.40964927015e-05,2.40490719264e-05,2.40964927015e-05,551079632601517585604517216872694814,203559762629065603191125221753944787437,68933741.36238897,1157.50697069,35058831.559686,8,6,
12,1627819200,5810416621119,2.40894480584e-05,2.40894480584e-05,2.39817118971e-05,2.39817118971e-05,551094203789256916683156495511943894,203609619955920922989015986483272246430,68933741.36238897,1157.50697069,35058831.559686,8,6,
13,1627822800,6747547100316,2.39821161457e-05,2.41107781098e-05,2.39821161457e-05,2.41107781098e-05,551211106562851110610211351347461508,203609619955920922989015986483272246430,68933741.36238897,1157.50697069,35058831.559686,8,6,
14,1627826400,6747547100316,2.41244908615e-05,2.41385620193e-05,2.41244908615e-05,2.41385620193e-05,551257912750207738873357005309623673,203609619955920922989015986483272246430,68933741.36238897,1157.50697069,35058831.559686,8,6,
15,1627830000,6747420994598,2.41401124888e-05,2.41835927653e-05,2.41250174872e-05,2.41835927653e-05,551302812988354001832089447467523496,203617928066380912423287832841945306234,68933741.36238897,1157.50697069,35058831.559686,8,6,
16,1627833600,6715343690884,2.42010619963e-05,2.45097647678e-05,2.42010619963e-05,2.42935963419e-05,551668427822947285220687515532917347,203710338819175560437786772506429377246,68933741.36238897,1157.50697069,35058831.559686,8,6,
17,1627837200,6787097617909,2.42935963419e-05,2.43629337326e-05,2.42935963419e-05,2.43629337326e-05,551740232386036684682525938099571466,203711858990216319830803613009315993618,68933741.36238897,1157.50697069,35058831.559686,8,6,
18,1627840800,6757328928830,2.43629337326e-05,2.43629337326e-05,2.43147765933e-05,2.43147765933e-05,551740397285492653870629167799604526,203723019359383126854626431244517581325,68933741.36238897,1157.50697069,35058831.559686,8,6,
19,1627844400,6757137250676,2.44582070917e-05,2.44725320894e-05,2.40733832805e-05,2.4142690706e-05,551943252494987800361799155690261279,203903276992744364890188027476243694198,68933741.36238897,1157.50697069,35058831.559686,8,6,
20,1627848000,6706601154241,2.4142690706e-05,2.42741085201e-05,2.41044656934e-05,2.41653041634e-05,552153614829599600086697144345592239,203972880393572412315888505174942160202,68933741.36238897,1157.50697069,35058831.559686,8,6,
21,1627851600,6672174004388,2.41746719592e-05,2.43094473818e-05,2.41746719592e-05,2.4297275905e-05,552356847891686171735983208454326715,203994400796508730104311274485582869565,68933741.36238897,1157.50697069,35058831.559686,8,6,
22,1627855200,7005774055737,2.42974232167e-05,2.49237356874e-05,2.42974232167e-05,2.48861762988e-05,553004152049556527378343528705144723,204009872051632385706297371600206891139,68933741.36238897,1157.50697069,35058831.559686,8,6,
23,1627858800,8389463251742,2.48861762988e-05,2.5256748033e-05,2.48058019102e-05,2.50050609938e-05,553465600552102778877814658056436117,204140497692445642977484194183841555825,68933741.36238897,1157.50697069,35058831.559686,8,6,
24,1627862400,8229027052318,2.50288253415e-05,2.53217072431e-05,2.50288253415e-05,2.52740884723e-05,553790029367396334380532572797234568,204165036098472656522522240786618578109,68933741.36238897,1157.50697069,35058831.559686,8,6,
25,1627866000,8435449346024,2.5286458251e-05,2.53977666781e-05,2.52212603988e-05,2.52212603988e-05,553915998862860874141315272783243701,204236075139448586526058530644274416621,68933741.36238897,1157.50697069,35058831.559686,8,6,
26,1627869600,9207153566018,2.52284637813e-05,2.53495381445e-05,2.51714728086e-05,2.51714728086e-05,554046601675365389638103320011037878,204302526160479336985222737880105434384,68933741.36238897,1157.50697069,35058831.559686,8,6,
27,1627873200,9242581562277,2.51650467097e-05,2.51650467097e-05,2.50955271643e-05,2.51352525148e-05,554087183736815592621766368936401846,204338737649876817238385600964326526492,68933741.36238897,1157.50697069,35058831.559686,8,6,
28,1627876800,9242581562277,2.51355035622e-05,2.52600436171e-05,2.51355035622e-05,2.52063402039e-05,554214457769321482633987261439296271,204364921235765201361712439864244745896,68933741.36238897,1157.50697069,35058831.559686,8,6,
29,1627880400,9242581562277,2.52051116529e-05,2.52051116529e-05,2.52037385993e-05,2.52037385993e-05,554225779490569881639979839892210597,204365418262696744169643434479513410523,68933741.36238897,1157.50697069,35058831.559686,8,6,
30,1627884000,8929407427766,2.52037385993e-05,2.52038687739e-05,2.48977470344e-05,2.48977470344e-05,554225912244079946632499770720933696,204490463978060198357486937374093633569,68933741.36238897,1157.50697069,35058831.559686,8,6,
31,1627887600,8950890547954,2.48761221311e-05,2.48877618716e-05,2.48113623335e-05,2.48877618716e-05,554300880988151506697854189292405550,204526664449728519334957603912294800765,68933741.36238897,1157.50697069,35058831.559686,8,6,
32,1627891200,8403199057880,2.48890744119e-05,2.53951429541e-05,2.48890744119e-05,2.5306510275e-05,554823022968171372540389288712336999,204562449588984935002397659895048256134,68933741.36238897,1157.50697069,35058831.559686,8,6,
33,1627894800,7719394235253,2.5306510275e-05,2.53465837149e-05,2.52558898142e-05,2.52558898142e-05,554863789570972903071302181424863763,204593877250701237011162730965316277751,68933741.36238897,1157.50697069,35058831.559686,8,6,
34,1627898400,7802806567314,2.52545798234e-05,2.52545798234e-05,2.52046062286e-05,2.52046062286e-05,554863789570972903071302181424863763,204619650782442252819910787393661826231,68933741.36238897,1157.50697069,35058831.559686,8,6,
35,1627902000,7720051619475,2.52046062286e-05,2.52757541896e-05,2.52046062286e-05,2.52757541896e-05,554923519585743196181609794463821233,204619650782442252819910787393661826231,68933741.36238897,1157.50697069,35058831.559686,8,6,
36,1627905600,7629778924989,2.53263517267e-05,2.55580603287e-05,2.53263517267e-05,2.54920619704e-05,555222971376960269822791637186402458,204645851847651037111274439688839656853,68933741.36238897,1157.50697069,35058831.559686,8,6,
37,1627909200,7667313001095,2.54919178602e-05,2.54919178602e-05,2.53078643314e-05,2.53078643314e-05,555222971376960269822791637186402458,204713016335569483053055805346457208064,68933741.36238897,1157.50697069,35058831.559686,8,6,
38,1627912800,7586472492630,2.5304264351e-05,2.5304264351e-05,2.51371227827e-05,2.52377453724e-05,555329534240508008782347049664365263,204790080739642542845840989646257550090,68933741.36238897,1157.50697069,35058831.559686,8,6,
39,1627916400,7586472492630,2.52374698636e-05,2.52374698636e-05,2.51546688687e-05,2.51546688687e-05,555329534240508008782347049664365263,204823709568373593580861555549028280709,68933741.36238897,1157.50697069,35058831.559686,8,6,
40,1627920000,7586248353992,2.51480380046e-05,2.51886487343e-05,2.51359095974e-05,2.51886487343e-05,555329534240508008782347049664365263,204831326263885094657010177050760847453,68933741.36238897,1157.50697069,35058831.559686,8,6,
41,1627923600,7586248353992,2.51540109821e-05,2.51587164452e-05,2.51540109821e-05,2.51587164452e-05,555388163475291576792037800260978913,204845368172241043535838484854589208105,68933741.36238897,1157.50697069,35058831.559686,8,6,
42,1627927200,7654554261833,2.51587164452e-05,2.52525862285e-05,2.51587164452e-05,2.52158284609e-05,555490553940389889317990985561646209,204859980083130653295862948100322246814,68933741.36238897,1157.50697069,35058831.559686,8,6,
43,1627930800,7480869235286,2.5241289292e-05,2.55680674036e-05,2.5241289292e-05,2.55473773698e-05,555848426000686405364348381778445782,204862857919817522836186502171726557397,68933741.36238897,1157.50697069,35058831.559686,8,6,
44,1627934400,7670301873112,2.55884047033e-05,2.57336148485e-05,2.55884047033e-05,2.57336148485e-05,556073504218711645859175628725856716,204890727834446989610227339268255031591,68933741.36238897,1157.50697069,35058831.559686,8,6,
45,1627938000,7408194463848,2.57336148485e-05,2.57336148485e-05,2.55341982945e-05,2.55341982945e-05,556087259159470063701595776261904436,204969102933083489130164993575383491977,68933741.36238897,1157.50697069,35058831.559686,8,6,
46,1627941600,7411003534398,2.55490407115e-05,2.55490407115e-05,2.54112246871e-05,2.5413938278e-05,556102294624394060186568353281190723,205024249649597974591581958091180699844,68933741.36238897,1157.50697069,35058831.559686,8,6,
47,1627945200,7412512162246,2.54132629942e-05,2.5486688692e-05,2.53823806294e-05,2.5486688692e-05,556208422376680030680316938705835604,205036871903690784315296336558823540442,68933741.36238897,1157.50697069,35058831.559686,8,6,
48,1627948800,7412512162246,2.55281612023e-05,2.56723804514e-05,2.52363739935e-05,2.54088126767e-05,556574340216389301193806002428419830,205210693872737415476086429354620536036,68933741.36238897,1157.50697069,35058831.559686,8,6,
49,1627952400,7601979090587,2.54425281704e-05,2.58039244926e-05,2.54425281704e-05,2.56807434115e-05,557010662118977594944177411701401800,205278400010514532733488115813766152968,68933741.36238897,1157.50697069,35058831.559686,8,6,
50,1627956000,7601979090587,2.56840666104e-05,2.56840666104e-05,2.56830082284e-05,2.56830082284e-05,557027272214485066706032765460536439,205278682013251722106198306877741565453,68933741.36238897,1157.50697069,35058831.559686,8,6,
51,1627959600,6343792969248,2.57156957867e-05,2.61346430136e-05,2.57156957867e-05,2.59356485618e-05,557481747920897457953221267147780462,205355590786812728876976389646820348824,68933741.36238897,1157.50697069,35058831.559686,8,6,
52,1627963200,6129984821032,2.59341125157e-05,2.6074100116e-05,2.58436748829e-05,2.6074100116e-05,557703534123656210024715927558245483,205391335383189135632751105691424444928,68933741.36238897,1157.50697069,35058831.559686,8,6,
